"DBH","Flower","Abb"
17.7,0,"Il.an"
6.3,0,"Li.pr"
6.5,0,"Ne.ac"
14.8,0,"Il.an"
13.7,0,"Il.an"
4.7,0,"Au.ja"
11.8,0,"Il.an"
8.3,0,"Il.an"
10.1,0,"Il.an"
8.5,0,"Ne.ac"
5.6,0,"Il.an"
21.7,1,"Il.an"
9.3,0,"Il.an"
19.7,1,"Il.an"
6.8,1,"Li.pr"
7,1,"Li.pr"
7,1,"Li.pr"
8.8,0,"Il.an"
6.5,1,"Li.pr"
8.7,1,"Li.pr"
8.7,1,"Li.pr"
6,1,"Li.pr"
8,1,"Li.pr"
5.2,0,"Il.an"
7.3,0,"Ne.ac"
5.1,1,"Li.pr"
5.9,1,"Li.pr"
6.3,1,"Li.pr"
5.4,1,"Li.pr"
4.9,0,"Li.pr"
5.1,0,"Li.pr"
7.1,0,"Li.pr"
10.1,0,"Il.an"
10.7,0,"Li.pr"
6.7,0,"Li.pr"
8.4,0,"Li.pr"
11.7,0,"Il.an"
5.1,0,"Li.pr"
6,1,"Au.ja"
5.3,1,"Ce.ha"
17,0,"Il.an"
10.9,0,"Il.an"
24.4,0,"Il.an"
9.2,0,"Il.an"
16.5,0,"Il.an"
13.5,0,"Il.an"
7.3,0,"Il.an"
17.6,0,"Il.an"
17,0,"Il.an"
19.8,1,"Ne.ac"
27,0,"Il.an"
19.6,0,"Il.an"
16.5,0,"Il.an"
15.6,0,"Il.an"
14.9,0,"Il.an"
13.6,0,"Il.an"
13.6,0,"Il.an"
15.4,0,"Il.an"
21.8,0,"Il.an"
4.9,1,"Au.ja"
4.7,1,"Au.ja"
13.8,0,"Il.an"
17.9,0,"Il.an"
6.4,0,"Ce.ha"
6.7,0,"Ce.ha"
11.2,1,"Ce.ha"
4.8,1,"Au.ja"
15.2,0,"Il.an"
13.7,0,"Il.an"
15.1,0,"Il.an"
10.3,1,"Ce.ha"
18.3,0,"Il.an"
15.3,0,"Il.an"
13.9,0,"Il.an"
7.5,0,"Ce.ha"
15.8,0,"Il.an"
13.8,0,"Il.an"
19.6,0,"Il.an"
25.1,0,"Il.an"
17.3,0,"Il.an"
16.5,0,"Il.an"
5.6,1,"Au.ja"
16,0,"Il.an"
20.8,0,"Il.an"
18,0,"Il.an"
14.3,0,"Il.an"
7.5,1,"Au.ja"
14.5,0,"Il.an"
23.5,0,"Il.an"
19.9,0,"Il.an"
5.5,1,"Au.ja"
19.9,0,"Il.an"
16.4,0,"Il.an"
5.2,1,"Au.ja"
15.7,0,"Il.an"
5.8,1,"Au.ja"
16.8,0,"Il.an"
18.1,0,"Il.an"
15.9,0,"Il.an"
16.5,0,"Il.an"
4.8,1,"Au.ja"
18.7,0,"Il.an"
16.3,0,"Il.an"
16.4,0,"Il.an"
15,0,"Il.an"
7.5,1,"Au.ja"
5.3,1,"Au.ja"
8.2,0,"Li.pr"
17.6,0,"Il.an"
23.9,0,"Il.an"
16.8,0,"Il.an"
5.1,1,"Au.ja"
14.5,0,"Il.an"
15.6,0,"Il.an"
16.6,0,"Il.an"
19.3,0,"Il.an"
8.4,1,"Li.pr"
8.3,1,"Li.pr"
8.1,1,"Li.pr"
13.9,0,"Il.an"
9.3,1,"Ce.ha"
6.2,1,"Ce.ha"
14,0,"Il.an"
7.7,1,"Li.pr"
7.4,1,"Li.pr"
14.6,0,"Il.an"
15.1,0,"Il.an"
18.9,0,"Il.an"
7.7,1,"Li.pr"
12,0,"Ce.ha"
8.2,0,"Ce.ha"
16.6,0,"Il.an"
15.6,0,"Il.an"
10.9,1,"Li.pr"
9.8,1,"Li.pr"
8.8,1,"Li.pr"
8.1,1,"Li.pr"
8.1,1,"Li.pr"
8,1,"Li.pr"
